id,created_at,updated_at,is_active,icon,parent_id,has_options,type,title,description
01KHPX62GMNCYTZF,2024-03-14 20:45:53.116236+00,,true,,01KHPX62GK7N1ZXV,,standard,"{""az"":""Gözəllik avadanlığı"",""en"":"""",""ru"":""""}","{""az"":""Gözəllik avadanlığı\n\n\n\n\n\n\n"",""en"":"""",""ru"":""""}"
01KHPX62GMNDDGF6,2024-03-07 19:52:45.878464+00,,true,,01KHPX62GKNSE8JP,,standard,"{""az"":""Hamiləlik və analıq"",""en"":"""",""ru"":""""}","{""az"":""Hamiləlik və analıq"",""en"":"""",""ru"":""""}"
01KHPX62GMNFJXQQ,2024-03-18 20:25:18.083256+00,,true,,01KHPX62GK89CT0T,,standard,"{""az"":""Mexaniki saatlar"",""en"":"""",""ru"":""""}","{""az"":""Mexaniki saatlar\n\n\n"",""en"":"""",""ru"":""""}"
01KHPX62GMNHG93C,2024-03-14 06:09:48.930598+00,,true,,01KHPX62GMB10HKC,,standard,"{""az"":""Geyim və ayaqqabı"",""en"":"""",""ru"":""""}","{""az"":""Geyim və ayaqqabı\n"",""en"":"""",""ru"":""""}"
01KHPX62GMNK5AJ2,2024-03-18 20:14:50.355672+00,,true,,01KHPX62GKQ42KHP,,standard,"{""az"":""Toy və Party geyimləri"",""en"":"""",""ru"":""""}","{""az"":""Toy və Party geyimləri\n\n\n"",""en"":"""",""ru"":""""}"
01KHPX62GMNNVJE5,2024-03-15 19:20:28.691507+00,,true,,01KHPX62GKJT6T7F,,standard,"{""az"":""Dənli məhsullar"",""en"":"""",""ru"":""""}","{""az"":""Dənli məhsullar\n\n\n\n\n"",""en"":"""",""ru"":""""}"
01KHPX62GMNQ4AFS,2024-03-12 20:09:05.024586+00,,true,,01KHPX62GM1HVCPH,,standard,"{""az"":""Digər"",""en"":"""",""ru"":""""}","{""az"":""Digər\n"",""en"":"""",""ru"":""""}"
01KHPX62GMNQYJME,2024-02-18 19:24:43+00,2024-02-18 19:24:45+00,true,Ayyaqqabilar,01KHPX62GMJD211R,,standard,"{""az"":""Ayyaqabilar"",""en"":"""",""ru"":""""}","{""az"":""Ayyaqabilar"",""en"":"""",""ru"":""""}"
01KHPX62GMNT9E4M,2024-03-15 19:16:35.146548+00,,true,,01KHPX62GKJT6T7F,,standard,"{""az"":""Hazır yeməklər"",""en"":"""",""ru"":""""}","{""az"":""Hazır yeməklər\n\n"",""en"":"""",""ru"":""""}"
01KHPX62GMPFSY88,2024-03-15 19:52:00.247687+00,,true,,01KHPX62GKQ3KG3D,,standard,"{""az"":""Qənnadı məhsulları (Şirniyyatlar)"",""en"":"""",""ru"":""""}","{""az"":""Qənnadı məhsulları (Şirniyyatlar)\n\n\n\n"",""en"":"""",""ru"":""""}"
01KHPX62GMPKRGDT,2024-03-14 20:51:56.982065+00,,true,,01KHPX62GK2JN6MY,,standard,"{""az"":""Digər"",""en"":"""",""ru"":""""}","{""az"":""Digər\n\n\n\n\n\n"",""en"":"""",""ru"":""""}"
01KHPX62GMPNDYA2,2024-03-08 18:53:10.50888+00,,true,,01KHPX62GKNGXP6J,,standard,"{""az"":""Şirkətlər"",""en"":"""",""ru"":""""}","{""az"":""Şirkətlər"",""en"":"""",""ru"":""""}"
01KHPX62GMPNE77G,2024-03-08 19:15:20.286945+00,,true,,01KHPX62GKN9AEED,,standard,"{""az"":""Balıqlar və Balıq aləmi"",""en"":"""",""ru"":""""}","{""az"":""Balıqlar və Balıq aləmi"",""en"":"""",""ru"":""""}"
01KHPX62GMPV9TG1,2024-03-18 20:16:59.872507+00,,true,,01KHPX62GKQ42KHP,,standard,"{""az"":""Digər"",""en"":"""",""ru"":""""}","{""az"":""Digər\n\n\n\n\n\n"",""en"":"""",""ru"":""""}"
01KHPX62GMPXN9FA,2024-03-16 20:38:04.795981+00,,true,,01KHPX62GMS14PAB,,standard,"{""az"":""Estetik Lazer mərkəzləri"",""en"":"""",""ru"":""""}","{""az"":""Estetik Lazer mərkəzləri\n\n"",""en"":"""",""ru"":""""}"
01KHPX62GMQ2ERE4,2024-03-14 20:51:12.566264+00,,true,,01KHPX62GK2JN6MY,,standard,"{""az"":""Elektrikli diş fırçaları"",""en"":"""",""ru"":""""}","{""az"":""Elektrikli diş fırçaları\n\n\n\n"",""en"":"""",""ru"":""""}"
01KHPX62GMQ4JYEA,2024-03-15 19:57:17.278244+00,,true,,01KHPX62GKNXP8R5,,standard,"{""az"":""Kompotlar"",""en"":"""",""ru"":""""}","{""az"":""Kompotlar\n"",""en"":"""",""ru"":""""}"
